Datum_formiranja;Datum_Primene;Vazi_za;Srednji_kurs
 10.03.2006.; 11.03.2006.;1; 87,0881
 10.03.2006.; 12.03.2006.;1; 87,0881
 10.03.2006.; 13.03.2006.;1; 87,0881
 13.03.2006.; 14.03.2006.;1; 87,0616
 14.03.2006.; 15.03.2006.;1; 87,0600
 15.03.2006.; 16.03.2006.;1; 87,2260
 16.03.2006.; 17.03.2006.;1; 87,2799
 17.03.2006.; 18.03.2006.;1; 87,4850
 17.03.2006.; 19.03.2006.;1; 87,4850
 17.03.2006.; 20.03.2006.;1; 87,4850
 20.03.2006.; 21.03.2006.;1; 87,2681
 21.03.2006.; 22.03.2006.;1; 87,2705
 22.03.2006.; 23.03.2006.;1; 87,0900
 23.03.2006.; 24.03.2006.;1; 87,0000
 24.03.2006.; 25.03.2006.;1; 86,5000
 24.03.2006.; 26.03.2006.;1; 86,5000
 24.03.2006.; 27.03.2006.;1; 86,5000
 27.03.2006.; 28.03.2006.;1; 86,8750
 28.03.2006.; 29.03.2006.;1; 86,9529
 29.03.2006.; 30.03.2006.;1; 86,8012
 30.03.2006.; 31.03.2006.;1; 86,9005
 31.03.2006.; 01.04.2006.;1; 86,7695
 31.03.2006.; 02.04.2006.;1; 86,7695
 31.03.2006.; 03.04.2006.;1; 86,7695
 03.04.2006.; 04.04.2006.;1; 86,8000
 04.04.2006.; 05.04.2006.;1; 86,8762
 05.04.2006.; 06.04.2006.;1; 86,8120
 06.04.2006.; 07.04.2006.;1; 86,8200
 07.04.2006.; 08.04.2006.;1; 86,6500
 07.04.2006.; 09.04.2006.;1; 86,6500
 07.04.2006.; 10.04.2006.;1; 86,6500
 10.04.2006.; 11.04.2006.;1; 86,5485
 11.04.2006.; 12.04.2006.;1; 86,5500
 12.04.2006.; 13.04.2006.;1; 86,6000
 13.04.2006.; 14.04.2006.;1; 86,5250
 14.04.2006.; 15.04.2006.;1; 86,4000
 14.04.2006.; 16.04.2006.;1; 86,4000
 14.04.2006.; 17.04.2006.;1; 86,4000
 17.04.2006.; 18.04.2006.;1; 86,1000
 18.04.2006.; 19.04.2006.;1; 86,1799
 19.04.2006.; 20.04.2006.;1; 86,4977
 20.04.2006.; 21.04.2006.;1; 86,3599
 20.04.2006.; 22.04.2006.;1; 86,3599
 20.04.2006.; 23.04.2006.;1; 86,3599
 20.04.2006.; 24.04.2006.;1; 86,3599
 20.04.2006.; 25.04.2006.;1; 86,3599
 25.04.2006.; 26.04.2006.;1; 86,5141
 26.04.2006.; 27.04.2006.;1; 86,5300
 26.04.2006.; 28.04.2006.;1; 86,5300
 28.04.2006.; 29.04.2006.;1; 86,3500
 28.04.2006.; 30.04.2006.;1; 86,3500
 28.04.2006.; 01.05.2006.;1; 86,3500
 28.04.2006.; 02.05.2006.;1; 86,3500
 28.04.2006.; 03.05.2006.;1; 86,3500
 03.05.2006.; 04.05.2006.;1; 86,4800
 04.05.2006.; 05.05.2006.;1; 86,6500
 05.05.2006.; 06.05.2006.;1; 86,8070
 05.05.2006.; 07.05.2006.;1; 86,8070
 05.05.2006.; 08.05.2006.;1; 86,8070
 08.05.2006.; 09.05.2006.;1; 86,9171
 09.05.2006.; 10.05.2006.;1; 87,2338
 10.05.2006.; 11.05.2006.;1; 87,5005
 11.05.2006.; 12.05.2006.;1; 87,6710
 12.05.2006.; 13.05.2006.;1; 87,5570
 12.05.2006.; 14.05.2006.;1; 87,5570
 12.05.2006.; 15.05.2006.;1; 87,5570
 15.05.2006.; 16.05.2006.;1; 87,5000
 16.05.2006.; 17.05.2006.;1; 87,6500
 17.05.2006.; 18.05.2006.;1; 87,8418
 18.05.2006.; 19.05.2006.;1; 87,8742
 19.05.2006.; 20.05.2006.;1; 87,6906
 19.05.2006.; 21.05.2006.;1; 87,6906
 19.05.2006.; 22.05.2006.;1; 87,6906
 22.05.2006.; 23.05.2006.;1; 87,8370
 23.05.2006.; 24.05.2006.;1; 87,7757
 24.05.2006.; 25.05.2006.;1; 87,5919
 25.05.2006.; 26.05.2006.;1; 87,6484
 26.05.2006.; 27.05.2006.;1; 87,5700
 26.05.2006.; 28.05.2006.;1; 87,5700
 26.05.2006.; 29.05.2006.;1; 87,5700
 29.05.2006.; 30.05.2006.;1; 87,4700
 30.05.2006.; 31.05.2006.;1; 87,6380
 31.05.2006.; 01.06.2006.;1; 87,5513
 01.06.2006.; 02.06.2006.;1; 87,4901
 02.06.2006.; 03.06.2006.;1; 86,9999
 02.06.2006.; 04.06.2006.;1; 86,9999
 02.06.2006.; 05.06.2006.;1; 86,9999
