Datum_formiranja;Datum_Primene;Vazi_za;Srednji_kurs
 15.04.2009.; 15.04.2009.;1; 94,1357
 16.04.2009.; 16.04.2009.;1; 93,7347
 16.04.2009.; 17.04.2009.;1; 93,7347
 16.04.2009.; 18.04.2009.;1; 93,7347
 16.04.2009.; 19.04.2009.;1; 93,7347
 16.04.2009.; 20.04.2009.;1; 93,7347
 21.04.2009.; 21.04.2009.;1; 93,1116
 22.04.2009.; 22.04.2009.;1; 93,1255
 23.04.2009.; 23.04.2009.;1; 93,6078
 24.04.2009.; 24.04.2009.;1; 94,1782
 24.04.2009.; 25.04.2009.;1; 94,1782
 24.04.2009.; 26.04.2009.;1; 94,1782
 27.04.2009.; 27.04.2009.;1; 94,5135
 28.04.2009.; 28.04.2009.;1; 95,3963
 29.04.2009.; 29.04.2009.;1; 95,4373
 30.04.2009.; 30.04.2009.;1; 95,2396
 30.04.2009.; 01.05.2009.;1; 95,2396
 30.04.2009.; 02.05.2009.;1; 95,2396
 30.04.2009.; 03.05.2009.;1; 95,2396
 04.05.2009.; 04.05.2009.;1; 94,8182
 05.05.2009.; 05.05.2009.;1; 94,6236
 06.05.2009.; 06.05.2009.;1; 94,7829
 07.05.2009.; 07.05.2009.;1; 95,1133
 08.05.2009.; 08.05.2009.;1; 94,9016
 08.05.2009.; 09.05.2009.;1; 94,9016
 08.05.2009.; 10.05.2009.;1; 94,9016
 11.05.2009.; 11.05.2009.;1; 94,7030
 12.05.2009.; 12.05.2009.;1; 94,7413
 13.05.2009.; 13.05.2009.;1; 94,7824
 14.05.2009.; 14.05.2009.;1; 95,1548
 15.05.2009.; 15.05.2009.;1; 94,9333
 15.05.2009.; 16.05.2009.;1; 94,9333
 15.05.2009.; 17.05.2009.;1; 94,9333
 18.05.2009.; 18.05.2009.;1; 94,4079
 19.05.2009.; 19.05.2009.;1; 94,1039
 20.05.2009.; 20.05.2009.;1; 94,1083
 21.05.2009.; 21.05.2009.;1; 94,3742
 22.05.2009.; 22.05.2009.;1; 94,5586
 22.05.2009.; 23.05.2009.;1; 94,5586
 22.05.2009.; 24.05.2009.;1; 94,5586
 25.05.2009.; 25.05.2009.;1; 94,7674
 26.05.2009.; 26.05.2009.;1; 94,4688
 27.05.2009.; 27.05.2009.;1; 94,5113
 28.05.2009.; 28.05.2009.;1; 94,5360
 29.05.2009.; 29.05.2009.;1; 94,7155
 29.05.2009.; 30.05.2009.;1; 94,7155
 29.05.2009.; 31.05.2009.;1; 94,7155
 01.06.2009.; 01.06.2009.;1; 94,8363
 02.06.2009.; 02.06.2009.;1; 94,2601
 03.06.2009.; 03.06.2009.;1; 94,0080
 04.06.2009.; 04.06.2009.;1; 94,1999
 05.06.2009.; 05.06.2009.;1; 94,1698
 05.06.2009.; 06.06.2009.;1; 94,1698
 05.06.2009.; 07.06.2009.;1; 94,1698
 08.06.2009.; 08.06.2009.;1; 94,1547
 09.06.2009.; 09.06.2009.;1; 93,8668
 10.06.2009.; 10.06.2009.;1; 93,9739
 11.06.2009.; 11.06.2009.;1; 93,9734
 12.06.2009.; 12.06.2009.;1; 93,9453
 12.06.2009.; 13.06.2009.;1; 93,9453
 12.06.2009.; 14.06.2009.;1; 93,9453
 15.06.2009.; 15.06.2009.;1; 93,7494
 16.06.2009.; 16.06.2009.;1; 93,3424
 17.06.2009.; 17.06.2009.;1; 93,3724
 18.06.2009.; 18.06.2009.;1; 93,1744
 19.06.2009.; 19.06.2009.;1; 92,7334
 19.06.2009.; 20.06.2009.;1; 92,7334
 19.06.2009.; 21.06.2009.;1; 92,7334
 22.06.2009.; 22.06.2009.;1; 92,6439
 23.06.2009.; 23.06.2009.;1; 93,1558
 24.06.2009.; 24.06.2009.;1; 93,4593
 25.06.2009.; 25.06.2009.;1; 94,0204
 26.06.2009.; 26.06.2009.;1; 94,1573
 26.06.2009.; 27.06.2009.;1; 94,1573
 26.06.2009.; 28.06.2009.;1; 94,1573
 29.06.2009.; 29.06.2009.;1; 93,6581
 30.06.2009.; 30.06.2009.;1; 93,4415
 01.07.2009.; 01.07.2009.;1; 93,6463
 02.07.2009.; 02.07.2009.;1; 93,3855
 03.07.2009.; 03.07.2009.;1; 93,3550
 03.07.2009.; 04.07.2009.;1; 93,3550
 03.07.2009.; 05.07.2009.;1; 93,3550
 06.07.2009.; 06.07.2009.;1; 93,3763
 07.07.2009.; 07.07.2009.;1; 93,1802
 08.07.2009.; 08.07.2009.;1; 92,8084
 09.07.2009.; 09.07.2009.;1; 92,4959
 10.07.2009.; 10.07.2009.;1; 92,8176
 10.07.2009.; 11.07.2009.;1; 92,8176
 10.07.2009.; 12.07.2009.;1; 92,8176
 13.07.2009.; 13.07.2009.;1; 93,1629
 14.07.2009.; 14.07.2009.;1; 93,0254
 15.07.2009.; 15.07.2009.;1; 93,0588
 16.07.2009.; 16.07.2009.;1; 93,3043
 17.07.2009.; 17.07.2009.;1; 93,0614
 17.07.2009.; 18.07.2009.;1; 93,0614
 17.07.2009.; 19.07.2009.;1; 93,0614
 20.07.2009.; 20.07.2009.;1; 92,9187
 21.07.2009.; 21.07.2009.;1; 93,1149
 22.07.2009.; 22.07.2009.;1; 93,2318
 23.07.2009.; 23.07.2009.;1; 92,9807
 24.07.2009.; 24.07.2009.;1; 93,0589
 24.07.2009.; 25.07.2009.;1; 93,0589
 24.07.2009.; 26.07.2009.;1; 93,0589
 27.07.2009.; 27.07.2009.;1; 93,0450
 28.07.2009.; 28.07.2009.;1; 93,2843
 29.07.2009.; 29.07.2009.;1; 93,5915
 30.07.2009.; 30.07.2009.;1; 93,4607
 31.07.2009.; 31.07.2009.;1; 93,1932
 31.07.2009.; 01.08.2009.;1; 93,1932
 31.07.2009.; 02.08.2009.;1; 93,1932
 03.08.2009.; 03.08.2009.;1; 93,0408
 04.08.2009.; 04.08.2009.;1; 93,0674
 05.08.2009.; 05.08.2009.;1; 93,0557
 06.08.2009.; 06.08.2009.;1; 93,1830
 07.08.2009.; 07.08.2009.;1; 93,3499
 07.08.2009.; 08.08.2009.;1; 93,3499
 07.08.2009.; 09.08.2009.;1; 93,3499
 10.08.2009.; 10.08.2009.;1; 93,2806
 11.08.2009.; 11.08.2009.;1; 93,4589
 12.08.2009.; 12.08.2009.;1; 93,5562
 13.08.2009.; 13.08.2009.;1; 93,5770
 14.08.2009.; 14.08.2009.;1; 93,4644
 14.08.2009.; 15.08.2009.;1; 93,4644
 14.08.2009.; 16.08.2009.;1; 93,4644
 17.08.2009.; 17.08.2009.;1; 93,2993
 18.08.2009.; 18.08.2009.;1; 93,2870
 19.08.2009.; 19.08.2009.;1; 93,3816
 20.08.2009.; 20.08.2009.;1; 93,3175
 21.08.2009.; 21.08.2009.;1; 93,1643
 21.08.2009.; 22.08.2009.;1; 93,1643
 21.08.2009.; 23.08.2009.;1; 93,1643
 24.08.2009.; 24.08.2009.;1; 93,0808
 25.08.2009.; 25.08.2009.;1; 93,1149
 26.08.2009.; 26.08.2009.;1; 93,2403
 27.08.2009.; 27.08.2009.;1; 93,2784
 28.08.2009.; 28.08.2009.;1; 93,2861
 28.08.2009.; 29.08.2009.;1; 93,2861
 28.08.2009.; 30.08.2009.;1; 93,2861
 31.08.2009.; 31.08.2009.;1; 93,0737
 01.09.2009.; 01.09.2009.;1; 92,9338
 02.09.2009.; 02.09.2009.;1; 93,1071
 03.09.2009.; 03.09.2009.;1; 93,3946
 04.09.2009.; 04.09.2009.;1; 93,4524
 04.09.2009.; 05.09.2009.;1; 93,4524
 04.09.2009.; 06.09.2009.;1; 93,4524
 07.09.2009.; 07.09.2009.;1; 93,3614
 08.09.2009.; 08.09.2009.;1; 93,2521
 09.09.2009.; 09.09.2009.;1; 93,3043
 10.09.2009.; 10.09.2009.;1; 93,3599
 11.09.2009.; 11.09.2009.;1; 93,4883
 11.09.2009.; 12.09.2009.;1; 93,4883
 11.09.2009.; 13.09.2009.;1; 93,4883
 14.09.2009.; 14.09.2009.;1; 93,4985
 15.09.2009.; 15.09.2009.;1; 93,5717
 16.09.2009.; 16.09.2009.;1; 93,5418
 17.09.2009.; 17.09.2009.;1; 93,5566
 18.09.2009.; 18.09.2009.;1; 93,4915
 18.09.2009.; 19.09.2009.;1; 93,4915
 18.09.2009.; 20.09.2009.;1; 93,4915
 21.09.2009.; 21.09.2009.;1; 93,4005
 22.09.2009.; 22.09.2009.;1; 93,3846
 23.09.2009.; 23.09.2009.;1; 93,3391
 24.09.2009.; 24.09.2009.;1; 93,3023
 25.09.2009.; 25.09.2009.;1; 93,2229
 25.09.2009.; 26.09.2009.;1; 93,2229
 25.09.2009.; 27.09.2009.;1; 93,2229
 28.09.2009.; 28.09.2009.;1; 92,8516
 29.09.2009.; 29.09.2009.;1; 92,7523
 30.09.2009.; 30.09.2009.;1; 93,0114
 01.10.2009.; 01.10.2009.;1; 93,0862
 02.10.2009.; 02.10.2009.;1; 93,1527
 02.10.2009.; 03.10.2009.;1; 93,1527
 02.10.2009.; 04.10.2009.;1; 93,1527
 05.10.2009.; 05.10.2009.;1; 93,1785
 06.10.2009.; 06.10.2009.;1; 93,2100
 07.10.2009.; 07.10.2009.;1; 93,1463
 08.10.2009.; 08.10.2009.;1; 93,0818
 09.10.2009.; 09.10.2009.;1; 93,0974
 09.10.2009.; 10.10.2009.;1; 93,0974
 09.10.2009.; 11.10.2009.;1; 93,0974
 12.10.2009.; 12.10.2009.;1; 92,9470
 13.10.2009.; 13.10.2009.;1; 92,9798
 14.10.2009.; 14.10.2009.;1; 93,0651
 15.10.2009.; 15.10.2009.;1; 93,1170
 16.10.2009.; 16.10.2009.;1; 93,2018
 16.10.2009.; 17.10.2009.;1; 93,2018
 16.10.2009.; 18.10.2009.;1; 93,2018
 19.10.2009.; 19.10.2009.;1; 93,2476
 20.10.2009.; 20.10.2009.;1; 93,1797
 21.10.2009.; 21.10.2009.;1; 93,1660
 22.10.2009.; 22.10.2009.;1; 93,2012
 23.10.2009.; 23.10.2009.;1; 93,2053
 23.10.2009.; 24.10.2009.;1; 93,2053
 23.10.2009.; 25.10.2009.;1; 93,2053
 26.10.2009.; 26.10.2009.;1; 93,1165
 27.10.2009.; 27.10.2009.;1; 93,1360
 28.10.2009.; 28.10.2009.;1; 93,2550
 29.10.2009.; 29.10.2009.;1; 93,4571
 30.10.2009.; 30.10.2009.;1; 93,4346
 30.10.2009.; 31.10.2009.;1; 93,4346
 30.10.2009.; 01.11.2009.;1; 93,4346
 02.11.2009.; 02.11.2009.;1; 93,5591
 03.11.2009.; 03.11.2009.;1; 93,7008
 04.11.2009.; 04.11.2009.;1; 94,2181
 05.11.2009.; 05.11.2009.;1; 94,4221
 06.11.2009.; 06.11.2009.;1; 93,9762
 06.11.2009.; 07.11.2009.;1; 93,9762
 06.11.2009.; 08.11.2009.;1; 93,9762
 09.11.2009.; 09.11.2009.;1; 93,7306
 10.11.2009.; 10.11.2009.;1; 93,8019
 11.11.2009.; 11.11.2009.;1; 94,1208
 12.11.2009.; 12.11.2009.;1; 94,2571
 13.11.2009.; 13.11.2009.;1; 94,4696
 13.11.2009.; 14.11.2009.;1; 94,4696
 13.11.2009.; 15.11.2009.;1; 94,4696
 16.11.2009.; 16.11.2009.;1; 94,2464
 17.11.2009.; 17.11.2009.;1; 94,2333
 18.11.2009.; 18.11.2009.;1; 94,4602
 19.11.2009.; 19.11.2009.;1; 94,5367
 20.11.2009.; 20.11.2009.;1; 94,4514
 20.11.2009.; 21.11.2009.;1; 94,4514
 20.11.2009.; 22.11.2009.;1; 94,4514
 23.11.2009.; 23.11.2009.;1; 94,3506
 24.11.2009.; 24.11.2009.;1; 94,4120
 25.11.2009.; 25.11.2009.;1; 94,4435
 26.11.2009.; 26.11.2009.;1; 94,6200
 27.11.2009.; 27.11.2009.;1; 94,8438
 27.11.2009.; 28.11.2009.;1; 94,8438
 27.11.2009.; 29.11.2009.;1; 94,8438
 30.11.2009.; 30.11.2009.;1; 94,7580
 01.12.2009.; 01.12.2009.;1; 95,0682
 02.12.2009.; 02.12.2009.;1; 95,2175
 03.12.2009.; 03.12.2009.;1; 95,5282
 04.12.2009.; 04.12.2009.;1; 95,7965
 04.12.2009.; 05.12.2009.;1; 95,7965
 04.12.2009.; 06.12.2009.;1; 95,7965
 07.12.2009.; 07.12.2009.;1; 96,5657
 08.12.2009.; 08.12.2009.;1; 96,3499
 09.12.2009.; 09.12.2009.;1; 95,5284
 10.12.2009.; 10.12.2009.;1; 95,3235
 11.12.2009.; 11.12.2009.;1; 95,9317
 11.12.2009.; 12.12.2009.;1; 95,9317
 11.12.2009.; 13.12.2009.;1; 95,9317
 14.12.2009.; 14.12.2009.;1; 95,9315
 15.12.2009.; 15.12.2009.;1; 95,9742
 16.12.2009.; 16.12.2009.;1; 96,1646
 17.12.2009.; 17.12.2009.;1; 96,4499
 18.12.2009.; 18.12.2009.;1; 96,1655
 18.12.2009.; 19.12.2009.;1; 96,1655
 18.12.2009.; 20.12.2009.;1; 96,1655
 21.12.2009.; 21.12.2009.;1; 95,9658
 22.12.2009.; 22.12.2009.;1; 96,2262
 23.12.2009.; 23.12.2009.;1; 96,4440
 24.12.2009.; 24.12.2009.;1; 96,4887
 25.12.2009.; 25.12.2009.;1; 96,0766
 25.12.2009.; 26.12.2009.;1; 96,0766
 25.12.2009.; 27.12.2009.;1; 96,0766
 28.12.2009.; 28.12.2009.;1; 95,9120
 29.12.2009.; 29.12.2009.;1; 96,3022
 30.12.2009.; 30.12.2009.;1; 96,3166
 31.12.2009.; 31.12.2009.;1; 95,8888
 31.12.2009.; 01.01.2010.;1; 95,8888
 31.12.2009.; 02.01.2010.;1; 95,8888
 31.12.2009.; 03.01.2010.;1; 95,8888
 04.01.2010.; 04.01.2010.;1; 95,9679
 05.01.2010.; 05.01.2010.;1; 96,6538
 06.01.2010.; 06.01.2010.;1; 96,9951
 06.01.2010.; 07.01.2010.;1; 96,9951
 08.01.2010.; 08.01.2010.;1; 97,2271
 08.01.2010.; 09.01.2010.;1; 97,2271
 08.01.2010.; 10.01.2010.;1; 97,2271
 11.01.2010.; 11.01.2010.;1; 97,4290
 12.01.2010.; 12.01.2010.;1; 97,3274
 13.01.2010.; 13.01.2010.;1; 97,4670
 14.01.2010.; 14.01.2010.;1; 97,3298
 15.01.2010.; 15.01.2010.;1; 97,0955
 15.01.2010.; 16.01.2010.;1; 97,0955
 15.01.2010.; 17.01.2010.;1; 97,0955
 18.01.2010.; 18.01.2010.;1; 96,8943
 19.01.2010.; 19.01.2010.;1; 96,9198
 20.01.2010.; 20.01.2010.;1; 97,2182
 21.01.2010.; 21.01.2010.;1; 97,3702
 22.01.2010.; 22.01.2010.;1; 97,3454
 22.01.2010.; 23.01.2010.;1; 97,3454
 22.01.2010.; 24.01.2010.;1; 97,3454
 25.01.2010.; 25.01.2010.;1; 97,4313
 26.01.2010.; 26.01.2010.;1; 97,5541
 27.01.2010.; 27.01.2010.;1; 97,7214
 28.01.2010.; 28.01.2010.;1; 98,0520
 29.01.2010.; 29.01.2010.;1; 98,4620
 29.01.2010.; 30.01.2010.;1; 98,4620
 29.01.2010.; 31.01.2010.;1; 98,4620
 01.02.2010.; 01.02.2010.;1; 98,4716
 02.02.2010.; 02.02.2010.;1; 98,5681
 03.02.2010.; 03.02.2010.;1; 98,7392
 04.02.2010.; 04.02.2010.;1; 98,7041
 05.02.2010.; 05.02.2010.;1; 98,6814
 05.02.2010.; 06.02.2010.;1; 98,6814
 05.02.2010.; 07.02.2010.;1; 98,6814
 08.02.2010.; 08.02.2010.;1; 98,6519
 09.02.2010.; 09.02.2010.;1; 98,5390
 10.02.2010.; 10.02.2010.;1; 98,5885
 11.02.2010.; 11.02.2010.;1; 98,6658
 12.02.2010.; 12.02.2010.;1; 98,6728
 12.02.2010.; 13.02.2010.;1; 98,6728
 12.02.2010.; 14.02.2010.;1; 98,6728
 12.02.2010.; 15.02.2010.;1; 98,6728
 16.02.2010.; 16.02.2010.;1; 98,3721
 17.02.2010.; 17.02.2010.;1; 98,4297
 18.02.2010.; 18.02.2010.;1; 98,6950
 19.02.2010.; 19.02.2010.;1; 98,7548
 19.02.2010.; 20.02.2010.;1; 98,7548
 19.02.2010.; 21.02.2010.;1; 98,7548
 22.02.2010.; 22.02.2010.;1; 98,9293
 23.02.2010.; 23.02.2010.;1; 99,1357
 24.02.2010.; 24.02.2010.;1; 99,3504
 25.02.2010.; 25.02.2010.;1; 99,5236
 26.02.2010.; 26.02.2010.;1; 99,6337
 26.02.2010.; 27.02.2010.;1; 99,6337
 26.02.2010.; 28.02.2010.;1; 99,6337
 01.03.2010.; 01.03.2010.;1; 99,6581
 02.03.2010.; 02.03.2010.;1; 99,5167
 03.03.2010.; 03.03.2010.;1; 99,5611
 04.03.2010.; 04.03.2010.;1; 99,6621
 05.03.2010.; 05.03.2010.;1; 99,7044
 05.03.2010.; 06.03.2010.;1; 99,7044
 05.03.2010.; 07.03.2010.;1; 99,7044
 08.03.2010.; 08.03.2010.;1; 99,7354
 09.03.2010.; 09.03.2010.;1; 99,8364
 10.03.2010.; 10.03.2010.;1; 99,7398
 11.03.2010.; 11.03.2010.;1; 99,8281
 12.03.2010.; 12.03.2010.;1; 99,8848
 12.03.2010.; 13.03.2010.;1; 99,8848
 12.03.2010.; 14.03.2010.;1; 99,8848
 15.03.2010.; 15.03.2010.;1; 99,7781
 16.03.2010.; 16.03.2010.;1; 99,8368
 17.03.2010.; 17.03.2010.;1; 99,7032
 18.03.2010.; 18.03.2010.;1; 99,6647
 19.03.2010.; 19.03.2010.;1; 99,6674
 19.03.2010.; 20.03.2010.;1; 99,6674
 19.03.2010.; 21.03.2010.;1; 99,6674
 22.03.2010.; 22.03.2010.;1; 99,6144
 23.03.2010.; 23.03.2010.;1; 99,5076
 24.03.2010.; 24.03.2010.;1; 99,7435
 25.03.2010.; 25.03.2010.;1; 99,7394
 26.03.2010.; 26.03.2010.;1; 99,6592
 26.03.2010.; 27.03.2010.;1; 99,6592
 26.03.2010.; 28.03.2010.;1; 99,6592
 29.03.2010.; 29.03.2010.;1; 99,6722
 30.03.2010.; 30.03.2010.;1; 99,7357
 31.03.2010.; 31.03.2010.;1; 99,7604
 01.04.2010.; 01.04.2010.;1; 99,6140
 01.04.2010.; 02.04.2010.;1; 99,6140
 01.04.2010.; 03.04.2010.;1; 99,6140
 01.04.2010.; 04.04.2010.;1; 99,6140
 01.04.2010.; 05.04.2010.;1; 99,6140
 06.04.2010.; 06.04.2010.;1; 99,5206
 07.04.2010.; 07.04.2010.;1; 99,5703
 08.04.2010.; 08.04.2010.;1; 99,6158
 09.04.2010.; 09.04.2010.;1; 99,7019
 09.04.2010.; 10.04.2010.;1; 99,7019
 09.04.2010.; 11.04.2010.;1; 99,7019
 12.04.2010.; 12.04.2010.;1; 99,7721
 13.04.2010.; 13.04.2010.;1; 99,6091
 14.04.2010.; 14.04.2010.;1; 99,5676
 15.04.2010.; 15.04.2010.;1; 99,3691
 16.04.2010.; 16.04.2010.;1; 99,0961
 16.04.2010.; 17.04.2010.;1; 99,0961
 16.04.2010.; 18.04.2010.;1; 99,0961
 19.04.2010.; 19.04.2010.;1; 99,1983
 20.04.2010.; 20.04.2010.;1; 99,4712
 21.04.2010.; 21.04.2010.;1; 99,3843
 22.04.2010.; 22.04.2010.;1; 99,3590
 23.04.2010.; 23.04.2010.;1; 99,0177
 23.04.2010.; 24.04.2010.;1; 99,0177
 23.04.2010.; 25.04.2010.;1; 99,0177
 26.04.2010.; 26.04.2010.;1; 99,0472
 27.04.2010.; 27.04.2010.;1; 99,2121
 28.04.2010.; 28.04.2010.;1; 99,2965
 29.04.2010.; 29.04.2010.;1; 99,3718
 30.04.2010.; 30.04.2010.;1; 99,2683
 30.04.2010.; 01.05.2010.;1; 99,2683
 30.04.2010.; 02.05.2010.;1; 99,2683
 30.04.2010.; 03.05.2010.;1; 99,2683
 04.05.2010.; 04.05.2010.;1; 99,1480
 05.05.2010.; 05.05.2010.;1; 99,1739
 06.05.2010.; 06.05.2010.;1; 99,3791
 07.05.2010.; 07.05.2010.;1; 99,5363
 07.05.2010.; 08.05.2010.;1; 99,5363
 07.05.2010.; 09.05.2010.;1; 99,5363
 10.05.2010.; 10.05.2010.;1; 99,9442
 11.05.2010.; 11.05.2010.;1; 99,9222
 12.05.2010.; 12.05.2010.;1; 99,9566
 13.05.2010.; 13.05.2010.;1; 99,9644
 14.05.2010.; 14.05.2010.;1; 99,9773
 14.05.2010.; 15.05.2010.;1; 99,9773
 14.05.2010.; 16.05.2010.;1; 99,9773
 17.05.2010.; 17.05.2010.;1; 100,2590
 18.05.2010.; 18.05.2010.;1; 100,9846
 19.05.2010.; 19.05.2010.;1; 101,4533
 20.05.2010.; 20.05.2010.;1; 101,7099
 21.05.2010.; 21.05.2010.;1; 101,9389
 21.05.2010.; 22.05.2010.;1; 101,9389
 21.05.2010.; 23.05.2010.;1; 101,9389
 24.05.2010.; 24.05.2010.;1; 102,2291
 25.05.2010.; 25.05.2010.;1; 102,5068
 26.05.2010.; 26.05.2010.;1; 103,1139
 27.05.2010.; 27.05.2010.;1; 102,8082
 28.05.2010.; 28.05.2010.;1; 102,8214
 28.05.2010.; 29.05.2010.;1; 102,8214
 28.05.2010.; 30.05.2010.;1; 102,8214
 31.05.2010.; 31.05.2010.;1; 102,7303
 01.06.2010.; 01.06.2010.;1; 102,5979
 02.06.2010.; 02.06.2010.;1; 102,4532
 03.06.2010.; 03.06.2010.;1; 102,5809
 04.06.2010.; 04.06.2010.;1; 102,8127
 04.06.2010.; 05.06.2010.;1; 102,8127
 04.06.2010.; 06.06.2010.;1; 102,8127
 07.06.2010.; 07.06.2010.;1; 103,0046
 08.06.2010.; 08.06.2010.;1; 103,3427
 09.06.2010.; 09.06.2010.;1; 103,5617
 10.06.2010.; 10.06.2010.;1; 103,9368
 11.06.2010.; 11.06.2010.;1; 103,4627
 11.06.2010.; 12.06.2010.;1; 103,4627
 11.06.2010.; 13.06.2010.;1; 103,4627
 14.06.2010.; 14.06.2010.;1; 103,4574
 15.06.2010.; 15.06.2010.;1; 103,2481
 16.06.2010.; 16.06.2010.;1; 103,1799
 17.06.2010.; 17.06.2010.;1; 103,5416
 18.06.2010.; 18.06.2010.;1; 103,7247
 18.06.2010.; 19.06.2010.;1; 103,7247
 18.06.2010.; 20.06.2010.;1; 103,7247
 21.06.2010.; 21.06.2010.;1; 103,8750
 22.06.2010.; 22.06.2010.;1; 103,9678
 23.06.2010.; 23.06.2010.;1; 103,8963
 24.06.2010.; 24.06.2010.;1; 104,0892
 25.06.2010.; 25.06.2010.;1; 103,7808
 25.06.2010.; 26.06.2010.;1; 103,7808
 25.06.2010.; 27.06.2010.;1; 103,7808
 28.06.2010.; 28.06.2010.;1; 104,0004
 29.06.2010.; 29.06.2010.;1; 104,2880
 30.06.2010.; 30.06.2010.;1; 104,3704
 01.07.2010.; 01.07.2010.;1; 104,5461
 02.07.2010.; 02.07.2010.;1; 104,3129
 02.07.2010.; 03.07.2010.;1; 104,3129
 02.07.2010.; 04.07.2010.;1; 104,3129
 05.07.2010.; 05.07.2010.;1; 104,2161
 06.07.2010.; 06.07.2010.;1; 104,1076
 07.07.2010.; 07.07.2010.;1; 103,8302
 08.07.2010.; 08.07.2010.;1; 103,7730
 09.07.2010.; 09.07.2010.;1; 103,8243
 09.07.2010.; 10.07.2010.;1; 103,8243
 09.07.2010.; 11.07.2010.;1; 103,8243
 12.07.2010.; 12.07.2010.;1; 103,8562
 13.07.2010.; 13.07.2010.;1; 104,0529
 14.07.2010.; 14.07.2010.;1; 104,1668
 15.07.2010.; 15.07.2010.;1; 104,3394
 16.07.2010.; 16.07.2010.;1; 104,6835
 16.07.2010.; 17.07.2010.;1; 104,6835
 16.07.2010.; 18.07.2010.;1; 104,6835
 19.07.2010.; 19.07.2010.;1; 104,6675
 20.07.2010.; 20.07.2010.;1; 104,8999
 21.07.2010.; 21.07.2010.;1; 104,9115
 22.07.2010.; 22.07.2010.;1; 104,9482
 23.07.2010.; 23.07.2010.;1; 105,1019
 23.07.2010.; 24.07.2010.;1; 105,1019
 23.07.2010.; 25.07.2010.;1; 105,1019
 26.07.2010.; 26.07.2010.;1; 105,3492
 27.07.2010.; 27.07.2010.;1; 105,5792
 28.07.2010.; 28.07.2010.;1; 106,1458
 29.07.2010.; 29.07.2010.;1; 105,9677
 30.07.2010.; 30.07.2010.;1; 106,2256
 30.07.2010.; 31.07.2010.;1; 106,2256
 30.07.2010.; 01.08.2010.;1; 106,2256
 02.08.2010.; 02.08.2010.;1; 106,3524
 03.08.2010.; 03.08.2010.;1; 106,6367
 04.08.2010.; 04.08.2010.;1; 106,3800
 05.08.2010.; 05.08.2010.;1; 106,1188
 06.08.2010.; 06.08.2010.;1; 105,9266
 06.08.2010.; 07.08.2010.;1; 105,9266
 06.08.2010.; 08.08.2010.;1; 105,9266
 09.08.2010.; 09.08.2010.;1; 105,8305
 10.08.2010.; 10.08.2010.;1; 105,1111
 11.08.2010.; 11.08.2010.;1; 105,0002
 12.08.2010.; 12.08.2010.;1; 104,9734
 13.08.2010.; 13.08.2010.;1; 104,9872
 13.08.2010.; 14.08.2010.;1; 104,9872
 13.08.2010.; 15.08.2010.;1; 104,9872
 16.08.2010.; 16.08.2010.;1; 104,6809
 17.08.2010.; 17.08.2010.;1; 104,6877
 18.08.2010.; 18.08.2010.;1; 104,5592
 19.08.2010.; 19.08.2010.;1; 104,5116
 20.08.2010.; 20.08.2010.;1; 104,5762
 20.08.2010.; 21.08.2010.;1; 104,5762
 20.08.2010.; 22.08.2010.;1; 104,5762
 23.08.2010.; 23.08.2010.;1; 104,8204
 24.08.2010.; 24.08.2010.;1; 105,0561
 25.08.2010.; 25.08.2010.;1; 105,2853
 26.08.2010.; 26.08.2010.;1; 105,3888
 27.08.2010.; 27.08.2010.;1; 105,3171
 27.08.2010.; 28.08.2010.;1; 105,3171
 27.08.2010.; 29.08.2010.;1; 105,3171
 30.08.2010.; 30.08.2010.;1; 105,2186
 31.08.2010.; 31.08.2010.;1; 105,1032
 01.09.2010.; 01.09.2010.;1; 105,2169
 02.09.2010.; 02.09.2010.;1; 105,4625
 03.09.2010.; 03.09.2010.;1; 105,6252
 03.09.2010.; 04.09.2010.;1; 105,6252
 03.09.2010.; 05.09.2010.;1; 105,6252
 06.09.2010.; 06.09.2010.;1; 105,6269
 07.09.2010.; 07.09.2010.;1; 105,5178
 08.09.2010.; 08.09.2010.;1; 105,4414
 09.09.2010.; 09.09.2010.;1; 105,2430
 10.09.2010.; 10.09.2010.;1; 104,9737
 10.09.2010.; 11.09.2010.;1; 104,9737
 10.09.2010.; 12.09.2010.;1; 104,9737
 13.09.2010.; 13.09.2010.;1; 104,8442
 14.09.2010.; 14.09.2010.;1; 105,0643
 15.09.2010.; 15.09.2010.;1; 105,3658
 16.09.2010.; 16.09.2010.;1; 105,4813
 17.09.2010.; 17.09.2010.;1; 105,4038
 17.09.2010.; 18.09.2010.;1; 105,4038
 17.09.2010.; 19.09.2010.;1; 105,4038
 20.09.2010.; 20.09.2010.;1; 105,3896
 21.09.2010.; 21.09.2010.;1; 105,2987
 22.09.2010.; 22.09.2010.;1; 105,2473
 23.09.2010.; 23.09.2010.;1; 105,3658
 24.09.2010.; 24.09.2010.;1; 105,5626
 24.09.2010.; 25.09.2010.;1; 105,5626
 24.09.2010.; 26.09.2010.;1; 105,5626
 27.09.2010.; 27.09.2010.;1; 105,6531
 28.09.2010.; 28.09.2010.;1; 105,7746
 29.09.2010.; 29.09.2010.;1; 105,8411
 30.09.2010.; 30.09.2010.;1; 106,1748
 01.10.2010.; 01.10.2010.;1; 106,3713
 01.10.2010.; 02.10.2010.;1; 106,3713
 01.10.2010.; 03.10.2010.;1; 106,3713
